"data","observado","previsto"
2023-05-01,0.49,0.444573230780261
2023-06-01,0.11,0.45396326667518
2023-07-01,0.22,0.418894923161299
2023-08-01,0.33,0.44163012352354
2023-09-01,0.3,0.393208927665908
2023-10-01,0.31,0.433342890617577
2023-11-01,0.37,0.394704388544641
2023-12-01,0.47,0.421554322622352
2024-01-01,0.51,0.426510686863398
2024-02-01,0.42,0.373785031321687
2024-03-01,0.24,0.354562097732702
2024-04-01,0.3,0.404468588872803
2024-05-01,0.4,0.409399708472923
2024-06-01,0.28,0.401579344220681
2024-07-01,0.39,0.329189368879809
2024-08-01,0.3,0.330525804622301
2024-09-01,0.33,0.295548448892808
2024-10-01,0.45,0.338560742651066
2024-11-01,0.35,0.318969917804103
2024-12-01,0.45,0.34795127321076
2025-01-01,0.62,0.360059055674167
2025-02-01,0.43,0.379283114464509
2025-03-01,0.47,0.334697653626852
2025-04-01,0.49,0.383135636673792
