"Modelo","Especificacao","AIC","BIC","RMSE","MAE"
"M1 ARIMA — Núcleo","(3,0,0)",-453.13,-435.38,0.1518,0.1214
"M2 SARIMA — Núcleo","(1,0,1)(1,0,0)[12]",-467.94,-450.2,0.1495,0.1143
"M3 SARIMAX + câmbio — Núcleo","(1,0,1)(2,0,0)[12]",-465.88,-441.09,0.1452,0.1076
"M4 SARIMAX + câmbio + Selic — Núcleo","(1,0,0)(2,0,0)[12]",-459.45,-434.66,0.1457,0.1176
"M5 SARIMAX + câmbio + Selic + IGP-M — Núcleo","(1,0,1)(2,0,0)[12]",-477.13,-445.26,0.1253,0.0997
"M6 SARIMAX + câmbio + Selic + IGP-M + Focus — Núcleo","(1,0,1)(2,0,0)[12]",-480.05,-444.63,0.1344,0.1065
