"Termo","Coeficiente","ErroPadrao","Estatistica_t","p_valor"
"ar1",0.1534,0.0679,2.26,0.0247
"dcambio",-0.004,0.0033,-1.21,0.2274
"selic_fim",-0.0059,0.0025,-2.36,0.019
"igpm",0.1136,0.0153,7.42,0
"focus",1.1215,0.0666,16.84,0
